id	measurementType	measurementValue	measurementUnit
f6d0a8da-e936-11e8-b5a3-a3f515eccf40	Toxin	Value	Unit
f6d0a8db-e936-11e8-b5a3-a3f515eccf40	PSP	ND	ND
f6d0a8dc-e936-11e8-b5a3-a3f515eccf40	ND	ND	ND
f6d0a8dd-e936-11e8-b5a3-a3f515eccf40	no toxicity by mouse test	ND	ND
f6d0a8de-e936-11e8-b5a3-a3f515eccf40	ND	ND	ND
f6d16c20-e936-11e8-b5a3-a3f515eccf40	ND	ND	ND
f6d16c21-e936-11e8-b5a3-a3f515eccf40	counting		
f6d16c22-e936-11e8-b5a3-a3f515eccf40	counting		
f6d16c23-e936-11e8-b5a3-a3f515eccf40	ND		
f6d16c24-e936-11e8-b5a3-a3f515eccf40	ND		
f6d16c25-e936-11e8-b5a3-a3f515eccf40	ND		
f6d16c26-e936-11e8-b5a3-a3f515eccf40	ND		
f6d16c27-e936-11e8-b5a3-a3f515eccf40	counting and chlorophyll		
f6d16c28-e936-11e8-b5a3-a3f515eccf40	PSP Producer		
f6d16c29-e936-11e8-b5a3-a3f515eccf40	PSP	182.2- 232.2	microgram STX per 100g tissue
f6d16c2a-e936-11e8-b5a3-a3f515eccf40	PSP	ND	
f6d22f4b-e936-11e8-b5a3-a3f515eccf40	ND		
f6d22f4c-e936-11e8-b5a3-a3f515eccf40	ND		
f6d22f4d-e936-11e8-b5a3-a3f515eccf40	ND		
f6d22f4e-e936-11e8-b5a3-a3f515eccf40	ND	ND	ND
f6d22f4f-e936-11e8-b5a3-a3f515eccf40	ND	ND	ND
f6d22f51-e936-11e8-b5a3-a3f515eccf40	DSP		mouse units. 
f6d2f27a-e936-11e8-b5a3-a3f515eccf40	ND	ND	
f6d2f27b-e936-11e8-b5a3-a3f515eccf40	Cytotoxicity	3.18	mouse units. 
f6d2f27c-e936-11e8-b5a3-a3f515eccf40	ND	ND	ND
f6d2f27d-e936-11e8-b5a3-a3f515eccf40	OA	21	µg
f6d2f27e-e936-11e8-b5a3-a3f515eccf40	ND	ND	ND
f6d2f27f-e936-11e8-b5a3-a3f515eccf40	ND	ND	ND
f6d2f281-e936-11e8-b5a3-a3f515eccf40	ND		
f6d2f282-e936-11e8-b5a3-a3f515eccf40	ND		
f6d2f283-e936-11e8-b5a3-a3f515eccf40	ND		
f6d2f284-e936-11e8-b5a3-a3f515eccf40	ND		
f6d3b5ac-e936-11e8-b5a3-a3f515eccf40	ND		
f6d3b5ad-e936-11e8-b5a3-a3f515eccf40	ND		
f6d3b5ae-e936-11e8-b5a3-a3f515eccf40	PSP	1057-2698	µU/100g mouse unit
f6d3b5af-e936-11e8-b5a3-a3f515eccf40	PSP	800	µg equiv.STX/100g
