occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	references	additionalReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
f6d0a8da-e936-11e8-b5a3-a3f515eccf40	Reported name (if different)		Date*	Verbatim date	Latitude*	Longitude*	Locality	Minimum depth	Maximum depth	Coordinate uncertainty	HumanObservation	present	Identification status	Reference	Additional references	Last modified	WKT		HAEDAT URL
f6d0a8db-e936-11e8-b5a3-a3f515eccf40	Alexandrium catenella	urn:lsid:marinespecies.org:taxname:231873	2007-10/2008-01	autumn 2007	37.275813	9.880855	Bizerte Lagoon, Tunisia	ND	ND		HumanObservation	present	1 - good	Turki S, A. Mastouri, F. Akrout, N.Balti,I.Baouecha (2009) R. M’rabet Potential impacts of sebkhet Ariana rainfall discharges on the trophic state of the coastal zone of Raoued(Gulf of Tunis, Tunisia) Desalination 246 (337–343				This work withim the framework of the monitoring program in shelfish and urchin production area	
f6d0a8dc-e936-11e8-b5a3-a3f515eccf40	Alexandrium catenella	urn:lsid:marinespecies.org:taxname:231873	2000-03/2000-05	spring, 2000	31.202162	29.89087	Eastern Harbour, Alexandria, Egypt	ND	ND		HumanObservation	present	1 - good	Mikhail, S. K. 2001. Toxic red tide species are on rise in Alexandria waters (Egypt). Harmful Algal News, No.22:5.					
f6d0a8dd-e936-11e8-b5a3-a3f515eccf40	Alexandrium catenella	urn:lsid:marinespecies.org:taxname:231873	1998-06/1998-05	spring, 1998	35.184876	-2.924224	Nador Lagoon, Morocco	ND	ND		HumanObservation	present	1 - good	Tahri Joutei L., Maghraoui M. and Boutaib R. 2003. Toxic phytoplankton and phycotoxins in the Mediterranean coast of Morocco from 1994 to 2000. Molluscan shellfish safety, A. Villalba, B. Reguera, J.L. Romalda and R. Beiras (Eds). Consellaria de Pesca e Asuntos Maritimos da Xunta de Galicia and IOC of UNESCO:187-195					
f6d0a8de-e936-11e8-b5a3-a3f515eccf40	Alexandrium tamarense	urn:lsid:marinespecies.org:taxname:109714	1995-05/1995-06	spring, 1995	37.15	10.20	Ghar El-Melh, Tunisia	ND	ND		HumanObservation	present	1 - good	Romdhane, M. S., Eilertsen, H. C., Yahia, K. D. & Yahia, M. N. D. 1998. Toxic dinoflagellate blooms in Tunisian lagoons: causes, and consequences for aquaculture. In: Reguera, B., Blanco, J., Fernandez, L. & Wyatt, T. [Eds.] Harmful algae. Proceedings of the VIII International Conference on Harmful Algae. Xunta de Galicia and Intergovernmental Oceanographic Commission of UNESCO, Vigo, Spain, pp. 80-83.				The standing crop comprising both A. tamarense and A. minutum causing fish mortality	http://haedat.iode.org/viewEvent.php?eventID=6680
f6d16c20-e936-11e8-b5a3-a3f515eccf40	Alexandrium tamarense	urn:lsid:marinespecies.org:taxname:109714	1996-05/1996-06	spring,  1996	37.15	10.20	Ghar El-Melh, Tunisia	ND	ND		HumanObservation	present	1 - good	Romdhane, M. S., Eilertsen, H. C., Yahia, K. D. & Yahia, M. N. D. 1998. Toxic dinoflagellate blooms in Tunisian lagoons: causes, and consequences for aquaculture. In: Reguera, B., Blanco, J., Fernandez, L. & Wyatt, T. [Eds.] Harmful algae. Proceedings of the VIII International Conference on Harmful Algae. Xunta de Galicia and Intergovernmental Oceanographic Commission of UNESCO, Vigo, Spain, pp. 80-83.				The standing crop comprising both A. tamarense and A. minutum causing fish mortality	
f6d16c21-e936-11e8-b5a3-a3f515eccf40	Alexandrium minutum	urn:lsid:marinespecies.org:taxname:109711	1958-09-23	summer1958	31.202162	29.89087	Eastern Harbour, Alexandria, Egypt		ND		HumanObservation	present	1 - good	Halim, Y., 1960. Alexandrium minutum n. gen., n. sp. Dinoflagelle provocant des "eaux rouges". Vie et Milieu, 11 (1): 102-105.				The first record of the genus and species	
f6d16c22-e936-11e8-b5a3-a3f515eccf40	Alexandrium minutum	urn:lsid:marinespecies.org:taxname:109711	1958-03-15	March 1958	31.202162	29.89087	Eastern Harbour, Alexandria, Egypt		ND		HumanObservation	present	1 - good	El-Maghraby, A.M. and Y. Halim, 1965. A quantitative and qualitative study of the Plankton of Alexandria waters. Hydrobiol. 25 (1-2): 221-238.					
f6d16c23-e936-11e8-b5a3-a3f515eccf40	Alexandrium minutum	urn:lsid:marinespecies.org:taxname:109711	1964-06-21	Spring 1964	31.202162	29.89087	Eastern Harbour, Alexandria, Egypt		ND		HumanObservation	present	1 - good	Hassan, A. K. 1972. Systematic and ecological study of the dinoflagellates in the area of Alexandria. M.Sc. Thesis, Fac. Sc., Alexandria University, 316 pp. (Unpublished manuscript).					
f6d16c24-e936-11e8-b5a3-a3f515eccf40	Alexandrium minutum	urn:lsid:marinespecies.org:taxname:109711	1973-09-23	Summer 1973	31.202162	29.89087	Eastern Harbour, Alexandria, Egypt		ND		HumanObservation	present	1 - good	Sultan, H.A. 1975. Preliminary investigation on the primary production of marine phytoplankton of the Egyptian Mediterranean coast around Alexandria region. M.Sc. Thesis, Fac. Sc., Alexandria University, 223 pp. (Unpublished manuscript).					
