id	measurementType	measurementValue	measurementUnit
26929162-e924-11e8-961e-1fd6cac35c7d	aphantoxin		
269edbab-e924-11e8-961e-1fd6cac35c7d	brevetoxin		
269edbac-e924-11e8-961e-1fd6cac35c7d	brevetoxin		
269edbb2-e924-11e8-961e-1fd6cac35c7d	brevetoxin		
269f9ee4-e924-11e8-961e-1fd6cac35c7d	brevetoxin		
269f9ee5-e924-11e8-961e-1fd6cac35c7d	brevetoxin		
269f9ee6-e924-11e8-961e-1fd6cac35c7d	brevetoxin		
26910af0-e924-11e8-961e-1fd6cac35c7d	quantity	1200	cells/ml
26910af3-e924-11e8-961e-1fd6cac35c7d	quantity	200	cells/L
26910af4-e924-11e8-961e-1fd6cac35c7d	quantity	200	cells/L
26910af5-e924-11e8-961e-1fd6cac35c7d	quantity	200	cells/L
26910af6-e924-11e8-961e-1fd6cac35c7d	quantity	200	cells/L
26910af7-e924-11e8-961e-1fd6cac35c7d	quantity	200	cells/L
26910af8-e924-11e8-961e-1fd6cac35c7d	quantity	200	cells/L
26910af9-e924-11e8-961e-1fd6cac35c7d	quantity	300	cells/L
2691ce26-e924-11e8-961e-1fd6cac35c7d	quantity	0.4	cells/L
2691ce27-e924-11e8-961e-1fd6cac35c7d	quantity	8	cells/L
26929162-e924-11e8-961e-1fd6cac35c7d	quantity	40,600-79,000	cells/ml
26929163-e924-11e8-961e-1fd6cac35c7d	quantity	722900	cells/ml
26929164-e924-11e8-961e-1fd6cac35c7d	quantity	5000	cells/ml
26929165-e924-11e8-961e-1fd6cac35c7d	quantity	784000	cells/ml
26929166-e924-11e8-961e-1fd6cac35c7d	quantity	8559	cells/ml
26929167-e924-11e8-961e-1fd6cac35c7d	quantity	546000	cells/ml
26929168-e924-11e8-961e-1fd6cac35c7d	quantity	1228000	cells/ml
2693548a-e924-11e8-961e-1fd6cac35c7d	quantity	274	cells/ml
2693548b-e924-11e8-961e-1fd6cac35c7d	quantity	440	cells/ml
2693548c-e924-11e8-961e-1fd6cac35c7d	quantity	330	cells/ml
269417bd-e924-11e8-961e-1fd6cac35c7d	quantity	393100	cells/ml
269417be-e924-11e8-961e-1fd6cac35c7d	quantity	301600	cells/ml
269417c2-e924-11e8-961e-1fd6cac35c7d	quantity	10	cells/ml
26959e38-e924-11e8-961e-1fd6cac35c7d	quantity	1208840	cells/ml
26959e39-e924-11e8-961e-1fd6cac35c7d	quantity	2106	cells/ml
26959e3a-e924-11e8-961e-1fd6cac35c7d	quantity	501760	cells/ml
26966162-e924-11e8-961e-1fd6cac35c7d	quantity	908800	cells/ml
