id	measurementType	measurementValue	measurementUnit
75bd92d6-7153-4be9-b0d6-b98262511b94	saxitoxin	1000	MU
9d4d98c7-4424-4283-ad2c-ec5960382364	saxitoxin	500	MU
c989d650-5076-41cb-9e39-ec079f82bfba	quantity	500	Milligrams per cubic metre
7428fbd5-598a-4d1b-aacd-dd69666c4769	quantity	2000	number per litre
e56d8711-2510-4063-bed3-109755da9c7a	quantity	2500	number per litre
43066cc4-25f7-4c56-a61b-8e46a6eaf45f	quantity	4000	number per litre
208428ef-7ad9-40c2-b78e-f0143b77167a	quantity	1667	number per litre
d37fe48a-48b0-41f7-9c6a-19518e96eb36	quantity	667	number per litre
4fb3c84e-711d-439b-847c-5f5a307af92f	quantity	500	number per litre
ea9ffaf7-30ce-468f-908c-64a57780ab0e	quantity	750	number per litre
757a0f51-1ee8-4b88-b159-afe2b6949cdf	quantity	1000	number per litre
faf2fa1e-f529-4d9e-8f31-683b533ce657	quantity	2000	number per litre
a04922b9-d01b-40de-b088-c68fd13566b5	quantity	4000	number per litre
b2ed5ec8-ea9a-432e-ac79-8ea6c8831af6	quantity	2000	number per litre
09668cd5-8573-407f-9325-f1e9a00bb155	quantity	2000	number per litre
2cde9386-325e-456d-a805-aca1defc57e2	quantity	2000	number per litre
388a107c-7750-40c7-80b1-36f2892b4980	quantity	9000	number per litre
717e2fbb-c860-4176-b104-a0e985eed89b	quantity	2000	number per litre
a4aece29-c9bd-42f2-b84d-7e1f48ee3202	quantity	500	number per litre
0cf96094-23f9-4296-8788-bed0eaa13103	quantity	1000	number per litre
9ddb7738-457c-488c-a05f-304cc13fd94a	quantity	1000	number per litre
d75e6c10-65dd-4da1-af6d-e900d384ad88	quantity	1000	number per litre
925179e5-52b4-406f-bbcd-928c3c061746	quantity	333	number per litre
2ea35c2c-4fab-48fd-ac3b-711b1cd449cd	quantity	333	number per litre
3f073d5e-72fc-4ac8-b864-e7781e558ed9	quantity	250	number per litre
799cbec6-25ed-456d-948c-6125a15f18f4	quantity	500	number per litre
f66411f5-3256-4d54-bb36-4e6ca7de74de	quantity	500	number per litre
5e6a915a-bea5-4323-910f-5074aeb9edb8	quantity	1000	number per litre
c159e500-ed92-46b0-aa71-ebd998a16d4d	quantity	500	number per litre
3a9c6c66-7f21-4956-a767-c05348a0c81c	quantity	750	number per litre
36e9059b-0992-4f94-83c4-7839b805508e	quantity	1000	number per litre
b5a85638-9156-45af-9d80-4e6d9ef119cc	quantity	200	number per litre
a46ccd71-72f0-4611-96a7-28fac6649139	quantity	1000	number per litre
d68c3562-766a-485c-afae-513c8a517716	quantity	1000	number per litre
80b1bc86-da1e-4248-86ad-808585aa9b91	quantity	200	number per litre
7550d90c-3442-440a-9628-c7cb518b2c20	quantity	800	number per litre
94041e96-d8ac-439a-89ab-f80b045a2410	quantity	400	number per litre
56d67065-ea6f-4da9-8f5e-8b804f61922a	quantity	750	number per litre
63bf0653-c0a8-4413-ab6f-14bc274bc547	quantity	500	number per litre
