occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	associatedReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
4fc233b4-9fea-4566-9b9d-9eec0f279514	Phaeocystis globosa	urn:lsid:marinespecies.org:taxname:160538	2001-04	2001 (17 and 25 april)	51.5833	2.7972	Belgian Continental Shelf			2200	HumanObservation	present	1 - good	Antajan, E.; Chrétiennot-Dinet, M.-J.; Leblanc, C.; Daro, M.-H.; Lancelot, C. (2004). 19'-hexanoyloxyfucoxanthin may not be the appropriate pigment to trace occurrence and fate of Phaeocystis: the case of P. globosa in Belgian coastal waters, in: Antajan, E. Responses of calanoid copepods to changes in phytoplankton dominance in the diatoms - Phaeocystis globosa dominated Belgium coastal waters. pp. 48-62		POINT(2.7972 51.5833)	Images present in source	
7744be52-d5d8-4670-ac69-bd53f3db1fc8	Phaeocystis globosa	urn:lsid:marinespecies.org:taxname:160538	2001-04	2001 (17 and 25 april)	51.4333	2.8139	Belgian Continental Shelf			2200	HumanObservation	present	1 - good	Antajan, E.; Chrétiennot-Dinet, M.-J.; Leblanc, C.; Daro, M.-H.; Lancelot, C. (2004). 19'-hexanoyloxyfucoxanthin may not be the appropriate pigment to trace occurrence and fate of Phaeocystis: the case of P. globosa in Belgian coastal waters, in: Antajan, E. Responses of calanoid copepods to changes in phytoplankton dominance in the diatoms - Phaeocystis globosa dominated Belgium coastal waters. pp. 48-62		POINT(2.8139 51.4333)	Images present in source	
c989d650-5076-41cb-9e39-ec079f82bfba	Phaeocystis globosa	urn:lsid:marinespecies.org:taxname:160538	1994	Late april-early May 1994	51.35	2.8	Belgian Continental Shelf			2200	HumanObservation	present	2 - probable	Becquevort, S.; Rousseau, V.; Lancelot, C. (1998). Major and comparable roles for free-living and attached bacteria in the degradation of Phaeocystis-derived organic matter in Belgian coastal waters of the North Sea. Aquat. Microb. Ecol. 14(1): 39-48.		POINT(2.8 51.35)		
7428fbd5-598a-4d1b-aacd-dd69666c4769	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T08:30:00	17.10.73 0830	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
e56d8711-2510-4063-bed3-109755da9c7a	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T09:15:00	17.10.73 0915	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
43066cc4-25f7-4c56-a61b-8e46a6eaf45f	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T010:45:00	17.10.73 1045	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
208428ef-7ad9-40c2-b78e-f0143b77167a	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T11:30:00	17.10.73 1130	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
d37fe48a-48b0-41f7-9c6a-19518e96eb36	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T12:15:00	17.10.73 1215	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
4fb3c84e-711d-439b-847c-5f5a307af92f	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T13:45:00	17.10.73 1345	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
ea9ffaf7-30ce-468f-908c-64a57780ab0e	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T14:10:00	17.10.73 1410	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
757a0f51-1ee8-4b88-b159-afe2b6949cdf	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-12-12T12:30:00	12.12.73 1230	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
faf2fa1e-f529-4d9e-8f31-683b533ce657	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1974-01-10T10:15:00	10.01.74 1015	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
a04922b9-d01b-40de-b088-c68fd13566b5	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1974-08-07T13:30:00	08.07.74 1330	51.1425	2.7428	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp.		POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
