id	measurementType	measurementValue	measurementUnit
c170e26a-9656-4663-9cb3-82287f868c75	PSP		
104241f6-956f-42aa-b967-209a87e214aa	eqSTX	110	microgram equivalent STX per 100 gram mussel meat
4797519f-1230-48fc-a50f-93304b813083	C1; C2; dcGTX2; dcGTX3; GTX2; GTX3; GTX1; GTX4; GTX5; GTX6; dcSTX; STX; NEO	4.2; 26.1; 1.8; 2.4; 238.6; 159.7; 189.7; 45.8; 43.5; 1.5; 5.5; 127; 6.2	microgram STX diHCl equivalents per kilogram
09d66977-9936-4395-8002-50af11c9ef67	C1; C2; C3; C4; dcGTX2; dcGTX3; GTX2; GTX3; GTX1; GTX4; GTX5; GTX6; doSTX; dcSTX; STX; NEO	141.4; 614.5; 8.9; 7.3; 47.8; 47.0; 1815.6; 1033.2; 4473.2; 1147.5; 830.6; 118.4; 0.3; 89.5; 11.2; 357.5; 107.6	microgram STX diHCl equivalents per kilogram
6c67dbe9-acc1-4724-914c-1a185568fae3	C1; C2; C3; C4; dcGTX2; dcGTX3; GTX2; GTX3; GTX1; GTX4; GTX5; GTX6; doSTX; dcSTX; STX; NEO	49.5; 287.2; 1; 0.5; 17.3; 18.4; 928.8; 773.5; 741.5; 214.0; 316.1; 17.4; 0.2; 83.5; 3.0; 528.4; 51.1	microgram STX diHCl equivalents per kilogram
7af619dd-499f-43a1-8858-c0c4b35f6ff9	C1; C2; dcGTX2; dcGTX3; GTX2; GTX3; GTX1; GTX4; GTX5; GTX6; dcSTX; STX; NEO	6.3; 31.2; 1.7; 3.3; 315.2; 205.3; 435.0; 99.7; 66.2; 2.8; 9.6; 311.5; 19.8	microgram STX diHCl equivalents per kilogram
75016974-a972-491c-aa86-abebd713c048	ND		
32dc4dad-2556-498f-aa6e-fc55c5b73e1e	STX		
0efc8f9f-48eb-4c20-a760-aa7183eb10e5	ND		
77634a88-d6ee-42f7-a632-3753462c0fa2	ND		
1fcc64a6-c6dc-410c-91a5-0d1e5a4f57b3	ND		
bbefb6b8-18b2-48fd-9943-ed28cd15132d	GTX4, GTX1, GTX3, GTX2, STX	89.4; 195.5; 12.9; 36.2; 0	nanogram per total cells
45fd801e-2308-4c23-ae08-453b0d244324	GTX4, GTX1, GTX3, GTX2, STX	638.8; 1267.6; 87.8; 294.5; 192.8	nanogram per total cells
f70381a8-ae6f-4115-932e-8f5165306ed0	GTX4, GTX1, GTX3, GTX2, STX	16.5; 34.6; 247.1; 601.3; 2642.8	nanogram per total cells
8f8d939a-4f1b-45ec-85d2-b4940cf4d2c9	ND		
20f0eea4-8ecc-48bd-a3f8-e3732c0e2ca4	ND		
0369a13f-84e9-4ffa-a3cc-8ec5a22ce3af	ND		
eb5fa4f1-f32b-41e8-8bc0-e71bba41582d	ND		
96e7d115-5899-46f4-a0d6-a6929b8380c5	ND		
cf782376-b8e1-4c80-9d7c-09dbb0c368fb	PSP	0.108	fentomol per cell
97808aad-9624-4d29-bc8f-2363c38e82d7	PSP	109-284	microgram STXeq per 100 gram shellfish meat
e299e41e-1788-4a8a-98d4-384b8816d775	PSP	816-1095	microgram STXeq per kilogram
1bc2abb0-e32d-4e8f-9e58-4d19e47a14d2	PSP	876-1778	microgram STXeq per kilogram/ microgram STX diHCl equivalent per kilogram s.m.
d0d72c8e-e5c5-4ed2-af6b-d1d2069c35de	PSP		
0650f7d4-e6a0-494f-af08-bc000ee16cd5	PSP	>800	microgram STX equivalent per kilogram s.m.
fa2ca8ba-b55f-434a-a099-8e1fb4a8d734	PSP	>800	microgram STX equivalent per kilogram s.m.
dd8ab330-355b-4a82-9045-fd652110e4b1	PSP	0.02	fentomol per cell
7632b774-6566-46e4-8344-cacac8206bb5	PSP	0.32	fentomol per cell
ae1d161a-0606-40c7-91f9-9bb1ece1437a	PSP	503	microgram STX diHCl equivalent per kilogram shellfish meat
6a462d82-7a66-4a70-ad1a-bee95a76b479	PSP	921	microgram STX diHCl equivalent per kilogram shellfish meat
a6fae8ee-e378-48d0-89ab-cf736adb6d14	ND		
135e036a-871b-4ff2-b090-34a3629239f8	ND		
dac55105-2ad8-4686-ac53-86ae17dd394a	ND		
896b272b-798f-41c9-af00-bac50bbc3f84	GTX1+GTX4; GTX2+GTX3; C1+C2; B1; B2; STX; NEO; dcSTX	5.8; 0.7; 2.3; 2.3; 0.63; 0.22; 0.09; 0.08	fentomol per cell
bf4687c3-343b-48cf-b7e1-00e957500375	GTX1+GTX4; GTX2+GTX3; C1+C2; B1; B2; STX; NEO; dcSTX	8.4; 0.93; 5.3; 4.8; 0.93; 0.35; 0.17; 0.20	fentomol per cell
529725b0-0b5d-4c7a-b172-7fabc8091b10	GTX4, GTX1, GTX2, GTX3	964; 17; 3; 2	fentogram per cell
6cb79476-ff79-44c2-8187-cc1a5c4aed1f	ND		
10cca72a-f259-4f83-aeac-2b4a4a7c29f0	PSP	182.2	microgram STX per 100 gram tissue on bivalve molluscs
8cfc3748-24cf-4c70-9c42-8c6ecd6c462f	PSP	232.2	microgram STX per 100 gram tissue on bivalve molluscs
a9ab28de-c248-49ef-935e-f476bc0469b0	ND		
0d70404f-4d0d-417f-be5a-7bc93991ea11	ND		
b3c7f74b-dc4e-46a5-9d77-c7e87681984f	dcSTX	64.959999999999994	microgram per kilogram
01bf4e16-a10f-429b-a0ac-0e183ed290b4	dcSTX	8.68	microgram per kilogram
a7cb7f20-1618-4f4d-b9fa-f36dd8e9a608	STX; GTX 2,3; dcSTX	1298.17; 300; 84.14	microgram per kilogram
a24a3e3f-afd4-4660-9125-824b2778e818	Saxitoxin	1169	microgram STX per 100 gram tissue on bivalve molluscs
7df1e3fb-9f47-440e-8234-892c812078e8	ND	1170	microgram STX per 100 gram tissue on bivalve molluscs
0609b403-e23d-4e0c-96af-d79cb10e6631	Saxitoxin		
46409fe2-86d6-40c9-b3e0-c84ebb856241	ND		
895c8776-efe6-4850-adb0-a10952d3cd0f	ND		
e8599578-bd98-4da5-9fee-2568abfeb84f	13-desMeC and Spirolid isomers	3.7	picogram per cell
ed204a4a-f0be-4c48-b4f7-0c24d0f23db5	Spirolide		
1f93491f-1855-4de7-ab0c-44950e98a675	C1; C2; dcGTX2; dcGTX3; GTX2; GTX3; GTX1; GTX4; GTX5; GTX6; dcSTX; STX; NEO	4.2; 26.1; 1.8; 2.4; 238.6; 159.7; 189.7; 45.8; 43.5; 1.5; 5.5; 127; 6.2	microgram STX diHCl equivalents per kilogram
c5d66559-7874-4344-87b0-e615985d750f	C1; C2; C3; C4; dcGTX2; dcGTX3; GTX2; GTX3; GTX1; GTX4; GTX5; GTX6; doSTX; dcSTX; STX; NEO	141.4; 614.5; 8.9; 7.3; 47.8; 47.0; 1815.6; 1033.2; 4473.2; 1147.5; 830.6; 118.4; 0.3; 89.5; 11.2; 357.5; 107.6	microgram STX diHCl equivalents per kilogram
