occurrenceID	scientificName	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	references	additionalReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
c8f277c5-37e4-412c-845f-6ce0f7695d3e	Alexandrium	2003/2004				one open water site on the South Carolina coast, USA				HumanObservation	present	1 - good	South Carolina Marine Resources Division. Condition of South Carolina's Estuarine and Coastal Habitats during 2003-2004. (2006) Technical Report 101			LINESTRING (-78.96973 33.55971, -80.94727 32.04533)		
739e5743-5f3a-45ee-b05e-f1e87aa81d34	Alexandrium fundyense	1998-04/1998-06		43.6579449	-70.1743944	Casco Bay, Gulf of Maine, USA				HumanObservation	present	1 - good	Deep-Sea Research II 52 (2005) 2764–2783					
a6c3c591-7ee5-4828-bb14-fdee6c1c803e	Alexandrium fundyense	2004-11-05		34.64669	-77.34756	Frenchs Creek, New River, North Carolina, USA				HumanObservation	present	1 - good	Harmful Algae 17 (2012) 54–63					
63e5ba2e-c702-4e4b-82f9-237d605e15ae	Alexandrium fundyense	2005-02-24/2005-06-08		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
e50a2a33-20cb-4f0a-83d8-a7e41eb6ecf4	Alexandrium fundyense	2009-05-15/2009-05-29		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
51bda08e-9083-483e-a58b-604bfe217897	Alexandrium fundyense	2010-04-23/2010-05-17		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
eb722239-dba6-4708-89c1-9d37950b178a	Alexandrium fundyense	2011-03-11/2011-05-20		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
f140cee6-568e-4e81-9b92-bb178c425e0e	Alexandrium fundyense	2012-03-09/2012-05-17		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
32ccd458-6359-4a07-b561-718f018c3481	Alexandrium fundyense	2005-02-24/2005-06-08		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
0e553a68-2bb2-4efa-ba7b-e99141fef5c1	Alexandrium fundyense	2009-05-15/2009-05-29		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
0f736892-29aa-44b7-b980-6f09b8cfba36	Alexandrium fundyense	2010-04-23/2010-05-17		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
b643f86b-544e-42f6-8265-09e15c80ffb0	Alexandrium fundyense	2011-03-11/2011-05-20		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
8026f843-18de-4fb5-a217-50124fc32f2a	Alexandrium fundyense	2012-03-09/2012-05-17		41.5673302	-71.45163415	Wickford Cove, Narragansett Bay, USA				HumanObservation	present	1 - good	Harmful Algae 32 (2014) 73–80					
2660961e-9aaf-4fe1-abe9-ff8ee3e7d401	Alexandrium monilatum	2007-09		37.2479	-76.3824	York River, Virginia, USA				HumanObservation	present	1 - good	Virginia Journal of Science 60, number 3, Fall 2009					
2157bedd-c73f-40c0-80ae-0325c497e9a1	Alexandrium monilatum	2008-09		37.2479	-76.3824	York River, Virginia, USA				HumanObservation	present	1 - good	Virginia Journal of Science 60, number 3, Fall 2009					
dc16858b-78b6-4ecc-9c33-6b5a2610c0a0	Alexandrium monilatum	2009-09		37.2479	-76.3824	York River, Virginia, USA				HumanObservation	present	1 - good	Virginia Journal of Science 60, number 3, Fall 2009					
b2ccf541-088f-451d-9349-9667d7e00306	Alexandrium ostenfeldii	2001-05-06/2001-05-15		43.7231	-69.9803	Casco Bay, Maine, USA				HumanObservation	present	1 - good	Deep-Sea Research II 52 (2005) 2745-2763					
8931e452-9cb7-42b4-8995-43d6ce9e8ba0	Alexandrium ostenfeldii	2001-05-06/2001-05-15		44.1875	-68.9212	Penobscot Bay, Maine USA				HumanObservation	present	1 - good	Deep-Sea Research II 52 (2005) 2745-2763					
d33878cb-3735-44ef-8fce-5f08d9cc2866	Alexandrium ostenfeldii	2001-06-06/2001-06-10		43.7231	-69.9803	Casco Bay, Maine, USA				HumanObservation	present	1 - good	Deep-Sea Research II 52 (2005) 2745-2763					
8cf795f4-71b0-41b6-b108-0d573912ec47	Alexandrium ostenfeldii	2001-06-06/2001-06-10		44.1875	-68.9212	Penobscot Bay, Maine USA				HumanObservation	present	1 - good	Deep-Sea Research II 52 (2005) 2745-2763					
88c22814-e10b-4247-800c-568989c87a12	Alexandrium ostenfeldii	2003-05-29/2001-06-31		43.7231	-69.9803	Casco Bay, Maine, USA				HumanObservation	present	1 - good	Deep-Sea Research II 52 (2005) 2745-2763					
181efa27-b380-4b66-9685-de69bd1e31f5	Alexandrium ostenfeldii	2003-05-29/2001-06-31		44.1875	-68.9212	Penobscot Bay, Maine USA				HumanObservation	present	1 - good	Deep-Sea Research II 52 (2005) 2745-2763					
66f76e72-33c8-41b6-a523-f7b1888dff7f	Alexandrium tamarense	1989-05-19		43.0611	-70.7007	Portsmouth Harbour, Maine, USA				HumanObservation	present	1 - good	Marine Biology (1992) 112:153-164					
69e86894-c904-45a3-a692-d18e00ab34ff	Alexandrium tamarense	1978/1991		40.6667	-73.3333	Mud Creek, Babylon, New York, USA				HumanObservation	present	1 - good	Marine Biology (1994) 120:467-478				study on several fundyense and tamarense isolates along northeastern US coast	
