id	measurementType	measurementValue	measurementUnit
cbadff5a-bb1d-4319-9ab8-d71d32daae32	STX (Saxitoxins)	1140	µg/100g
54926e4f-f4e9-4341-84af-585b7b6295f7	STX eq (Saxitoxins)	40.3	mg/kg
1cb647c8-1e2c-4e24-8862-1919f7b0421e	STX eq (Saxitoxins)		
e255e649-e0bc-4fa2-9aea-d77bab81ee06	STX (Saxitoxins)	2916	µg/100g
3846087a-66b3-4bea-931f-7e295cf9a4d1	PbTx3 eq (Brevetoxins)		
49404371-f28a-48a7-9be6-280008506885	GYM eq (CYCLIC IMINES - Gymnodimines)		
6c6d389d-63c2-48ee-864c-d690da5e60bd	GYM eq (CYCLIC IMINES - Gymnodimines)		
3cfcbc0b-d866-402a-b887-747dd890a3aa	YTX eq (Yessotoxins)		
baaaabc4-46de-4e03-8602-1ded8cedd892	YTX eq (Yessotoxins)		
061e7a1f-9d09-4b3a-b830-548b393724e7	STX (Saxitoxins)	27	mg/kg
975adb0d-1702-493d-a132-395d2dc916cd	STX (Saxitoxins)		
9102acc2-74f3-489e-ad4d-ac65db6a852a	STX eq (Saxitoxins)		
258dbd95-06ae-4a4d-92db-73c202c3694c	GTX5 (Saxitoxins)		
13de09b6-6fef-434e-9714-445366064213	STX eq (Saxitoxins)		
4d023e4a-5c31-4945-b552-e0148042b3d6	STX (Saxitoxins)		
570c5d87-0e29-419e-a6b3-2f153e2277c6	STX (Saxitoxins)		
cc661c9b-83d0-417c-84ff-738ddd19d78f	STX (Saxitoxins)		
fd6a2c1d-72d5-475f-a269-d932eac2347d	STX (Saxitoxins)		
82ad3231-9651-4f57-b5f5-d17007727d1d	STX eq (Saxitoxins)		
a96b496c-2e37-4223-a6ff-383f7fe65d25	STX eq (Saxitoxins)		
95e8e306-5413-42a5-8306-a0631ac07caf	STX eq (Saxitoxins)		
1d111d00-feef-4115-a4b3-194bdb4d8b3a	STX (Saxitoxins)		
72c8636d-df17-46b4-993e-cf9602594b9b	STX (Saxitoxins)		
58476cf8-9b84-46cf-a68e-fcd0c26cf555	STX (Saxitoxins)		
04526479-99a6-4c5e-84e7-89e04f882085	MTX3 (Maitotoxins)		
cea2651b-4e0c-4482-85cb-d69478a8fff1	MTX3 (Maitotoxins)		
8db1d129-4e3b-42f0-9dd9-c67c0c19e2e9	MTX1 (Maitotoxins)		
c53a5d4b-766d-4a95-9d46-1c70f269c913	MTX3 (Maitotoxins)		
38126447-fbd5-4c5d-8d2f-7fa3606f0421	Palytoxin (Ostreocin (Palytoxin))		
7d34df93-e2a0-4bac-9b37-fff8058bb5a7	Palytoxin (Ostreocin (Palytoxin))		
fdfa3822-dd11-4a95-8123-de87358239f0	Palytoxin (Ostreocin (Palytoxin))		
22616c40-c8a6-4ab5-9ccf-50be3ed6a476	MTX3 (Maitotoxins)		
de832e3c-50f9-4de5-97ac-165e1dceb89f	OA (Okadaic Acid)		
4a93dfac-8bc5-45ee-b914-1bfb48873762	OA (Okadaic Acid)		
5e3a4aee-c7ed-4bd9-941d-d9da734b488a	OA (Okadaic Acid)		
5b3c013f-b9f8-4684-8c0c-3a29633f3b25	OA (Okadaic Acid)		
71a67732-c286-4dbe-8601-74dd6f5aa6b3	OA (Okadaic Acid)		
fb5ac47e-3898-4b0f-9b16-3ccd75fa625d	DTX3 (Okadaic Acid)		
9df3c9d8-8e2e-4997-8848-62948852bc49	PTX2 eq (Pectenotoxins)		
367facad-5be0-4949-980b-1fd586142c92	OA (Okadaic Acid)		
d2b3e075-a57d-495e-a2d4-f8b567f61f7b	PTX2 (Pectenotoxins)		
dbe67b90-2ab4-4b96-b4cf-9c7cc07203fd	OA (Okadaic Acid)		
f00387c8-d6c2-4e9a-9509-ca6251ca1a54	OA (Okadaic Acid)		
3d8da9af-e83e-4e6c-86b0-6a74c79fe80f	OA (Okadaic Acid)		
b22cfcc8-a559-4fb3-8f24-491bcbe34dae	OA (Okadaic Acid)		
feec02f2-0170-48cb-878b-a8ff59c52558	DA (Domoic Acid)		
b311b77f-6459-461e-a8c8-75652b42d484	DA (Domoic Acid)	187	ppm
cbfa2b07-23eb-4cd5-bdb2-8a2c1d1a409f	DA (Domoic Acid)		
8cae122d-1b2f-4cee-9995-f1bfa1c1a4c5	DA (Domoic Acid)		
2527cc86-af03-4e57-9d4a-ede6f4fc30f7	DA (Domoic Acid)		
72a7a9ef-4ada-4d5a-87be-0a63f8ff7f86	DA (Domoic Acid)	600	ppm
793c352e-32e7-46d5-b13c-48093646fb7f	DA (Domoic Acid)		
97696752-0f89-4e6a-bbeb-e693efbf493e	DA (Domoic Acid)		
4ab7d5d4-f6cd-49eb-9547-0626b3aa5b3b	DA (Domoic Acid)		
0511e9f3-31b5-4307-b4f3-d8ad788a0f6d	DA (Domoic Acid)		
0841fd04-e9d3-4fd3-bfb4-e7662ac2a195	DA (Domoic Acid)		
d3ae64dc-36b4-4b2e-bbe7-2dcf04e0252e	DA (Domoic Acid)		
97ac7a94-8126-4964-995c-ab78eadde1a3	DA (Domoic Acid)		
b49e8154-fc37-4e9e-8568-5fdcdcec20d6	DA (Domoic Acid)		
8259b9d0-7521-4e11-accc-58b6741cb7c4	DA (Domoic Acid)		
1f428f78-dd0e-493b-98bb-538e9049ef9e	DA (Domoic Acid)		
9073a572-44bc-40b7-abff-b2dc7696219a	DA (Domoic Acid)		
531fc12a-25fb-4c0a-a257-7537347b6f05	DA (Domoic Acid)		
f3314697-877a-41ca-b9a8-f22b4d14fa30	Nodularin (Nodularins)		
a3cbb8ad-2596-4ab3-8c5e-3d4af4cdc86f	Nodularin (Nodularins)	90	mg/kg
b07324ec-4868-4dc2-97ba-72e02f6df2a8	Nodularin (Nodularins)	3500	µg/g dry weight
2eddb9c4-ef7b-489c-a3ff-5ef82fcad181	MC-LR (Microcystins)		
d0adf583-cc9a-458f-8616-a4cd6ae72e20	MC-LR eq (Microcystins)		
ca69824f-4954-4ce2-8ef0-40d71c819f87	MC-LR eq (Microcystins)		
e26dfae5-cdb0-4f1c-b6f6-60e4d98d1e1e	MC-LR eq (Microcystins)		
a7feeeab-47f7-4c3b-b65b-42ad6363c2b6	MC-LR eq (Microcystins)		
66660188-b989-4d43-a24d-c6fedd2fe91d	MC-LR (Microcystins)		
96e970f3-cd36-4b16-9f6e-4810872a294e	MC-LR (Microcystins)		
79330bd2-71ee-41d3-b9fb-c0109ac75773	STX eq (Saxitoxins)		
69e09bbc-c4af-40b9-a4d2-7ffbaed69325	STX eq (Saxitoxins)		
c0a504af-3346-4dc6-95a1-3c23abb20a68	Cylindrospermopsin (Cylindrospermopsin)		
c5469b09-94af-4416-9522-53a20361ea62	Anatoxin-A (Anatoxins)		
2a35036a-1dae-499a-87d4-88e91ea5f6f1	Anatoxin-A (Anatoxins)		
e4621f24-0fa9-40a5-ab07-f081a870b8e1	Anatoxin-A (Anatoxins)		
97384df3-ba9c-419d-a6ef-d8ab24518235	MC-LR (Microcystins)		
cbadff5a-bb1d-4319-9ab8-d71d32daae32	quantity	1e+06	cells/l
cedb5ab4-642e-400e-9a0d-e75c70721fa5	quantity	25000	cells/liter
a3da7cc1-cfc4-4832-b899-32b73cf45978	quantity	6400	cells/liter
992c2d6b-77c5-47d4-8391-89ddfc14d7ce	quantity	3.3e+07	cells/liter
a3e4d099-3b2c-45fb-b1aa-369285d57f9a	quantity	27000	cells/liter
24b139df-8fbd-4f2e-bf17-bdb387c940ee	quantity	1e+06	Cells/liter
77a7793b-5a84-47f8-8c12-49171a68f4e0	quantity	180000	Cells/liter
49404371-f28a-48a7-9be6-280008506885	quantity	9e+05	Cells/liter
6c6d389d-63c2-48ee-864c-d690da5e60bd	quantity	5e+05	Cells/liter
e768ab90-01d2-411c-94fc-e7de1604779e	quantity	11700	Cells/liter
940dfbc8-0d3c-41b4-b31d-49b2a2570d43	quantity	3.3e+07	Cells/liter
9102acc2-74f3-489e-ad4d-ac65db6a852a	quantity	117000	Cells/liter
258dbd95-06ae-4a4d-92db-73c202c3694c	quantity	13000	Cells/liter
82ad3231-9651-4f57-b5f5-d17007727d1d	quantity	190000	Cells/liter
71d3796f-44ce-4f3b-9282-07fff8ede445	quantity	15000	Cells/liter
a96b496c-2e37-4223-a6ff-383f7fe65d25	quantity	4e+06	Cells/liter
95e8e306-5413-42a5-8306-a0631ac07caf	quantity	1e+06	Cells/liter
91857c78-ccfb-4aca-af9e-229088e443df	quantity	1300	Cells/liter
71a67732-c286-4dbe-8601-74dd6f5aa6b3	quantity	138000	Cells/Liter
d2b3e075-a57d-495e-a2d4-f8b567f61f7b	quantity	28000	Cells/Liter
b311b77f-6459-461e-a8c8-75652b42d484	quantity	9e+05	cells/L
72a7a9ef-4ada-4d5a-87be-0a63f8ff7f86	quantity	1e+05	cells/L
42472a69-14cf-4359-b3c6-88b48bfe6951	quantity	2e+06	Cells/Liter
5b65cd9e-c633-4807-b7b4-8a5ce8577956	quantity	10200	Cells/Liter
17241d74-ad29-4905-a9c2-c6fa028b7372	quantity	4e+06	Cells/Liter
b6e1930d-ecf0-4ea7-a608-d5c84016fc32	quantity	250000	Cells/Liter
4c2cf2ec-7b8b-4688-bb4b-e5d15bda3994	quantity	110000	Cells/Liter
123fec75-4a24-49a5-a95f-130f7de8e206	quantity	9100	Cells/Liter
b36f0640-3c3f-408b-b92b-5936ac91afe0	quantity	120000	Cells/Liter
a3cbb8ad-2596-4ab3-8c5e-3d4af4cdc86f	quantity	1e+05	cells/ml
