occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	associatedReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
cbadff5a-bb1d-4319-9ab8-d71d32daae32	Gymnodinium catenatum	urn:lsid:marinespecies.org:taxname:109784	1986-03/1986-06		-42.89	147.34	River Derwent;Australia;Tasmania				HumanObservation	present	1	Hallegraeff et al. 1988 J. Plankton Research 10: 533-541	2017-01-17			
8933d6d2-8163-4c5d-aec2-57f6a6adc062	Gymnodinium catenatum	urn:lsid:marinespecies.org:taxname:109784	1992-03-12/1992-07-08		-38.54	143.98	Port Phillip Bay;Australia;Victoria				HumanObservation	present	1	Sonneman & Hill 1997 Bot. Mar. 40: 149 -177	2017-01-17		Cysts only	
1ebb9201-7d5e-456a-9ba2-ff65c39450e7	Gymnodinium catenatum	urn:lsid:marinespecies.org:taxname:109784	1996		-34.72	135.86	Port Licoln;Australia;South Australia				HumanObservation	present	1	Bolch et al. 1999 J. Phycol 35: 356-367	2017-01-17		Cysts only	
b85a6b80-f586-4560-958c-9316a9cb9466	Gymnodinium catenatum	urn:lsid:marinespecies.org:taxname:109784	1996		-33.55	151.23	Hawkesbury River;Australia;NSW				HumanObservation	present	1	Bolch & Reynolds 2002 J. Plankton R. 24: 565-578	2017-01-17		Cysts only	
54926e4f-f4e9-4341-84af-585b7b6295f7	Gymnodinium catenatum	urn:lsid:marinespecies.org:taxname:109784	2000-05/2000-06		-35.6	173.36	Northland East coast;New Zealand;North Island				HumanObservation	present	1	MacKenzie, L 2014 NZ J. Mar Freshw Research 48: 430-465	2018-02-22			http://haedat.iode.org/viewEvent.php?eventID=6350
1cb647c8-1e2c-4e24-8862-1919f7b0421e	Gymnodinium catenatum	urn:lsid:marinespecies.org:taxname:109784	2000-09/2000-12		-41.37	174.47	Cook Strait/Wellington Harbour;New Zealand;North Island				HumanObservation	present	1	MacKenzie, L 2014 NZ J. Mar Freshw Research 48: 430-465	2018-02-22			http://haedat.iode.org/viewEvent.php?eventID=6350
cedb5ab4-642e-400e-9a0d-e75c70721fa5	Gymnodinium catenatum	urn:lsid:marinespecies.org:taxname:109784	2003-05/2003-06		-39.32	177.32	Hawke's Bay;New Zealand;North Island				HumanObservation	present	1	MacKenzie, L 2014 NZ J. Mar Freshw Research 48: 430-465	2018-02-27			
a3da7cc1-cfc4-4832-b899-32b73cf45978	Gymnodinium catenatum	urn:lsid:marinespecies.org:taxname:109784	2003-05-03/2003-05-31		-37.74	177.1	Bay of Plenty ;New Zealand;North Island				HumanObservation	present	1	MacKenzie, L 2014 NZ J. Mar Freshw Research 48: 430-465	2018-02-27			
e255e649-e0bc-4fa2-9aea-d77bab81ee06	Gymnodinium catenatum	urn:lsid:marinespecies.org:taxname:109784	2000-06		-34.72	172.92	Tasman Sea;New Zealand;South Island				HumanObservation	present	1	Bolch & De Salas 2007 Harmful Algae 6: 465-485	2017-01-25			
2e23ad77-f89e-4518-88af-4dc065d3fbaf	Amphidinium carterae	urn:lsid:marinespecies.org:taxname:109723	1993		-41.27	174.86	Wellington Harbour;New Zealand;North Island				HumanObservation	present	1	Murray et al., 2004. J . Phycol. 40: 366-382.	2018-03-01		Phylogenetic analyses	
